ids	Pwy	pcomplex	kegg_modules	operon	regulator_name
3538	HOMOSERSYN-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	TU00178	NA
3538	HOMOSERSYN-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00017  Methionine biosynthesis, apartate => homoserine => methionine	TU00178	NA
3538	HOMOSERSYN-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
3538	THRESYN-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	TU00178	NA
3538	THRESYN-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00017  Methionine biosynthesis, apartate => homoserine => methionine	TU00178	NA
3538	THRESYN-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
3538	PWY0-781	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	TU00178	NA
3538	PWY0-781	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00017  Methionine biosynthesis, apartate => homoserine => methionine	TU00178	NA
3538	PWY0-781	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
3538	MET-SAM-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	TU00178	NA
3538	MET-SAM-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00017  Methionine biosynthesis, apartate => homoserine => methionine	TU00178	NA
3538	MET-SAM-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
3538	P4-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	TU00178	NA
3538	P4-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00017  Methionine biosynthesis, apartate => homoserine => methionine	TU00178	NA
3538	P4-PWY	ASPKINIHOMOSERDEHYDROGI-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
1377	THRESYN-PWY	HOMOSERKIN-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
1377	PWY0-781	HOMOSERKIN-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
1377	HOMOSER-THRESYN-PWY	HOMOSERKIN-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
1377	P4-PWY	HOMOSERKIN-CPLX	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
2886	THRESYN-PWY	NA	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
2886	PWY0-781	NA	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
2886	HOMOSER-THRESYN-PWY	NA	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
2886	P4-PWY	NA	eco_M00018  Threonine biosynthesis, aspartate => homoserine => threonine	TU00178	NA
904	NA	NA	NA	TU0-12787	NA
778	NA	NA	NA	TU0-12788	NA
971	NA	NA	NA	TU0-12789	NA
549	PENTOSE-P-PWY	TRANSALDOLB-CPLX	eco_M00004  Pentose phosphate pathway (Pentose phosphate cycle)	TU0-8121	NA
549	PENTOSE-P-PWY	TRANSALDOLB-CPLX	eco_M00007  Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	TU0-8121	NA
549	NONOXIPENT-PWY	TRANSALDOLB-CPLX	eco_M00004  Pentose phosphate pathway (Pentose phosphate cycle)	TU0-8121	NA
549	NONOXIPENT-PWY	TRANSALDOLB-CPLX	eco_M00007  Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	TU0-8121	NA
1158	PWY-6823	CPLX0-8163	eco_M00880  Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	TU0-12790	NA
852	NA	NA	NA	TU0-12792	NA
978	NA	NA	NA	TU0-8538	NA
1626	NA	NA	NA	TU00418	NA
1626	NA	NA	NA	TU00260	NA
1626	NA	NA	NA	TU00417	NA
1718	NA	CPLX0-8191	NA	TU00418	NA
1718	NA	CPLX0-8191	NA	TU00260	NA
1718	NA	CPLX0-8191	NA	TU00417	NA
1634	NA	CPLX0-7629	NA	TU0-3862	H-NS
1634	NA	CPLX0-7629	NA	TU00200	H-NS
1634	NA	CPLX0-7629	NA	TU0-3862	NhaR
1634	NA	CPLX0-7629	NA	TU00200	NhaR
176	NA	NA	NA	TU0-14299	H-NS
176	NA	NA	NA	TU0-3862	H-NS
176	NA	NA	NA	TU00200	H-NS
176	NA	NA	NA	TU0-14299	NhaR
176	NA	NA	NA	TU0-3862	NhaR
176	NA	NA	NA	TU00200	NhaR
3879	NA	NA	NA	TU0-7842	NA
3879	NA	NA	NA	TU0-7844	NA
3379	RIBOSYN2-PWY	NA	eco_M00125  Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	TU00291	NA
2724	NA	NA	NA	TU0-14465	NA
2724	NA	NA	NA	TU0-14395	NA
2724	NA	NA	NA	TU00291	NA
2724	NA	NA	NA	TU0-14253	NA
2724	NA	NA	NA	TU0-14394	NA
3457	NONMEVIPP-PWY	CPLX0-7564	eco_M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway	TU0-14465	NA
3457	NONMEVIPP-PWY	CPLX0-7564	eco_M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway	TU0-14395	NA
3457	NONMEVIPP-PWY	CPLX0-7564	eco_M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway	TU00291	NA
