GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr	study_items	common1	common2	in_pop	total_pop	fold_enrichment
GO:0004834	MF	e	tryptophan synthase activity	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P0A877, P0A879	trpA	trpB	2	2633	1316.5
GO:0004774	MF	e	succinate-CoA ligase activity	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P0A836, P0AGE9	imp	yhjD	2	2633	1316.5
GO:0004775	MF	e	succinate-CoA ligase (ADP-forming) activity	2/2	2/2633	2.885979564956469e-07	6.0	2.0	0.0	P0A836, P0AGE9	imp	yhjD	2	2633	1316.5
GO:0019197	CC	e	phosphoenolpyruvate-dependent sugar phosphotransferase complex	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P08839, P0AA04	ptsI	ptsH	2	2633	1316.5
GO:0044355	BP	e	clearance of foreign intracellular DNA	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P07648, P08394	recC	recB	2	2633	1316.5
GO:0099046	BP	e	clearance of foreign intracellular nucleic acids	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P07648, P08394	recC	recB	2	2633	1316.5
GO:0000107	MF	e	imidazoleglycerol-phosphate synthase activity	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P60595, P60664	queA	sscR	2	2633	1316.5
GO:0009382	CC	e	imidazoleglycerol-phosphate synthase complex	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P60595, P60664	queA	sscR	2	2633	1316.5
GO:0006189	BP	e	'de novo' IMP biosynthetic process	2/2	2/2633	2.885979564956469e-07	12.0	2.0	0.0	P08179, P15254	trpB	serC	2	2633	1316.5
GO:0006750	BP	e	glutathione biosynthetic process	2/2	2/2633	2.885979564956469e-07	8.0	2.0	0.0	P04425, P0A6W9	phoP	torR	2	2633	1316.5
GO:0046452	BP	e	dihydrofolate metabolic process	2/2	2/2633	2.885979564956469e-07	7.0	2.0	0.0	P08192, P0ABQ4	nuoB	nuoG	2	2633	1316.5
GO:0009088	BP	e	threonine biosynthetic process	2/2	2/2633	2.885979564956469e-07	10.0	2.0	0.0	P00547, P00934	tatB	tatA	2	2633	1316.5
GO:0090540	BP	e	bacterial cellulose biosynthetic process	2/2	2/2633	2.885979564956469e-07	10.0	2.0	0.0	P37653, P37655	purF	purL	2	2633	1316.5
GO:0030243	BP	e	cellulose metabolic process	2/2	2/2633	2.885979564956469e-07	8.0	2.0	0.0	P37653, P37655	mazG	tktA	2	2633	1316.5
GO:0009337	CC	e	sulfite reductase complex (NADPH)	2/2	2/2633	2.885979564956469e-07	3.0	2.0	0.0	P17846, P38038	hisI	hisG	2	2633	1316.5
GO:0019238	MF	e	cyclohydrolase activity	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P06989, P15639	arcA	narX	2	2633	1316.5
GO:0004637	MF	e	phosphoribosylamine-glycine ligase activity	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P08178, P15640	tolB	tatB	2	2633	1316.5
